ID x y
PVCL 0.20492990246102952 0.38904538297008134
PVCR 0.821162664221713 0.3884954177072364
VB11 0.18578607086646964 0.8516677131901752
AVBL 0.20321179505072312 0.13166037592335944
AVBR 0.8232335352901196 0.13095097734108677
RIBL 0.2059375431400424 0.0
DB02 1.0 0.4708813535450987
DB03 0.8961887813790183 0.6592014193320896
DB04 0.9406869074245455 0.5762517466586051
DB06 0.8408533018414395 0.7593713010938632
DB07 0.7886239266459387 0.8510105613994695
VB03 0.050374113854028874 0.576784665764524
VB04 0.0 0.4728525158075855
VB05 0.09215296414725554 0.6603124101664782
VB06 0.709538057384251 0.9969915960339629
VB07 0.5607836809986066 0.9973099130922619
VB08 0.25418340780637083 0.9996506499596132
VB09 0.4014339558472498 1.0
VB10 0.1372728603582217 0.7564321259585876
RIBR 0.8190854059786169 0.0017974215292394077
